lang,yyyy,mm,n_path,distance_mean_weighted,distance_mean,n_contrib,flow_id
pl,2003,7,55,1676.17619107568,2217.59692687385,84,367
pl,2003,8,49,1235.02743392459,1739.58225812967,104,1164
pl,2003,9,77,1307.46172816693,1620.43372691315,116,409
pl,2003,10,147,2657.30550856256,3181.24035908001,203,787
pl,2003,11,202,1858.29153724285,2205.63667653515,282,693
pl,2003,12,126,2638.77963350847,2784.83552750268,166,793
pl,2004,1,118,2553.07296646858,2745.44486707193,148,608
pl,2004,2,165,2062.84263609903,2478.85563485646,251,407
pl,2004,3,205,2372.70357931415,2952.93343226155,339,704
pl,2004,4,304,2465.37382244624,3035.84244427912,519,460
pl,2004,5,197,2125.65330062382,2415.3029549118,278,1190
pl,2004,6,235,1620.38633319388,2046.80065933715,477,1085
pl,2004,7,355,1107.21125665609,1271.27349947947,546,739
pl,2004,8,282,1829.98249204075,2500.90549919228,545,843
pl,2004,9,427,2535.98824060344,2351.42696162641,1022,785
pl,2004,10,466,2223.48268131565,2544.81032390175,810,423
pl,2004,11,576,1749.26655050014,2291.59420103673,1040,317
pl,2004,12,621,2473.39209738068,3166.41666082186,966,422
pl,2005,1,689,2082.56836835892,2648.21815474068,1309,237
pl,2005,2,532,1737.92419575244,2502.03861453493,988,733
pl,2005,3,811,1777.79655748199,2137.50551652611,1537,350
pl,2005,4,960,1681.31552892195,2066.03872303998,2022,1316
pl,2005,5,1129,1936.07555162549,2285.68068047906,1999,911
pl,2005,6,1303,1362.73065354929,1612.79213251979,2948,137
pl,2005,7,1098,1250.27558237866,1704.16780904673,2076,403
pl,2005,8,1135,1384.33152897175,1977.8672431591,2261,22
pl,2005,9,1009,1310.81133292561,1657.86318645074,1793,456
pl,2005,10,1326,1225.25059218883,1688.29417257269,2411,754
pl,2005,11,1284,1529.25216458444,1984.17028057151,2408,684
pl,2005,12,1697,1480.54499573802,1800.13820712612,3371,756
pl,2006,1,2605,1258.07091644008,1705.78307415072,5303,356
pl,2006,2,3010,1857.96887748932,2414.05838485776,5197,477
pl,2006,3,3476,1972.8839061529,2467.82814573921,5635,243
pl,2006,4,3100,1796.5209066556,2263.5969016651,5168,388
pl,2006,5,2765,1496.99292218317,2009.82734350839,4830,962
pl,2006,6,2476,1633.78822168454,2130.66111784533,4328,1136
pl,2006,7,2467,1645.7112884595,2050.36601579638,4826,1305
pl,2006,8,2738,1903.3616167606,1919.28806489739,5448,1297
pl,2006,9,2584,1355.42793869187,1919.69062877225,4580,188
pl,2006,10,2861,1542.95623381585,1996.35574335652,5035,538
pl,2006,11,3118,1734.06026856041,2079.53452031235,5904,611
pl,2006,12,3317,1710.49330357023,2091.9951555197,6063,536
pl,2007,1,3392,1442.71820800563,1849.07267551404,6474,817
pl,2007,2,3419,1326.85943151687,1727.73560635468,6708,1242
pl,2007,3,4426,1658.87688308829,2218.74236671314,7843,1060
